fiscal_year,Customer,SubCustomer,CanadaSector,obligatedAmount,numberOfActions,NumberOfContracts
2009,State and IAP,State,Other R&D and Knowledge Based,340095.1100,31,27
2008,Other Agencies,Commerce,Air,2223657.5300,14,6
2008,Other Agencies,EPA,Air,-147030.0000,13,11
2008,Other Agencies,EPA,"Weapons, Ammunition and Missiles",3500.0000,1,1
2008,Other Agencies,FEDERAL TRADE COMMISSION,C4ISR,9870.0000,1,1
2008,Other Agencies,HUD,"Other Facilities, Construction, Manufacturing and Testing",0.0000,5,5
2008,Other Agencies,Interior,"Other Facilities, Construction, Manufacturing and Testing",4513615.6400,181,160
2008,Other Agencies,Interior,Sea,6503900.0000,15,3
2008,Other Agencies,Labor,"Other Facilities, Construction, Manufacturing and Testing",78220.7400,7,5
2008,Other Agencies,NATIONAL SCIENCE FOUNDATION,C4ISR,64550.0000,1,1
2008,Other Agencies,NUCLEAR REGULATORY COMMISSION,NULL,9960.0000,1,1
2008,Other Agencies,SMITHSONIAN INSTITUTION,NULL,22847.0000,2,2
2008,Other Agencies,Transportation,NULL,26217.4100,4,4
2008,Other Agencies,Treasury,"Other Facilities, Construction, Manufacturing and Testing",2463658.0900,93,75
2008,State and IAP,State,Land,617197.2000,12,12
2009,Defense,Army,Other Products,61733269.4700,174,129
2009,Defense,Army,Other R&D and Knowledge Based,8463030.8800,63,47
2009,Defense,DLA,Other Products,5335584.5000,293,311
2009,Defense,DLA,Other R&D and Knowledge Based,37671.4900,3,3
2009,Defense,Navy,C4ISR,38734394.6100,413,326
2009,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",7375139.4500,186,162
2009,Defense,Navy,Other Services,3009488.5800,10,6
2009,DHS,CBP,Sea,-33691.3100,1,1
2009,DHS,COAST GUARD,Land,36866.4900,1,1
2009,DHS,ICE,C4ISR,965898.3200,27,26
2009,DHS,TSA,"Weapons, Ammunition and Missiles",30500.0000,2,2
2009,Energy,Energy,Air,24600.0000,1,1
2009,Energy,Energy,"Other Facilities, Construction, Manufacturing and Testing",743325.8600,10,10
2009,GSA,GSA,"Weapons, Ammunition and Missiles",8690.0000,5,7
2009,HHS,HHS,"Other Facilities, Construction, Manufacturing and Testing",1698938.0800,57,51
2009,NASA,NASA,"Other Facilities, Construction, Manufacturing and Testing",1717089.5300,33,31
2009,Other Agencies,BROADCASTING BOARD OF GOVERNORS,C4ISR,7487.3900,1,1
2009,Other Agencies,Commerce,NULL,158811.7100,17,15
2009,Other Agencies,Commerce,Air,1079860.6200,8,4
2009,Other Agencies,Commerce,Other Products,164229.4100,7,5
2009,Other Agencies,Commerce,Sea,665004.2200,22,14
2009,Other Agencies,COURT SERVICES AND OFFENDER SUPERVISION AGENCY,C4ISR,5805.0000,1,1
2009,Other Agencies,EPA,Air,39975.8100,5,6
2009,Other Agencies,EPA,Other Products,20611.4000,6,5
2009,Other Agencies,Interior,Air,838559.2900,12,6
2009,Other Agencies,Interior,"Other Facilities, Construction, Manufacturing and Testing",4315683.4400,188,164
2009,Other Agencies,Interior,Sea,16102601.2800,15,7
2009,Other Agencies,NATIONAL SCIENCE FOUNDATION,C4ISR,5166.2500,3,2
2009,Other Agencies,NATIONAL SCIENCE FOUNDATION,"Other Facilities, Construction, Manufacturing and Testing",5177.9100,1,1
2009,Other Agencies,SMITHSONIAN INSTITUTION,Other Products,10064.0000,1,1
2008,NASA,NASA,Air,68980.0100,3,2
2008,Other Agencies,All other Customers,"Other Facilities, Construction, Manufacturing and Testing",185483.0900,15,14
2008,Other Agencies,Commerce,C4ISR,1402291.4600,86,79
2008,Other Agencies,Commerce,Land,99495.6400,1,1
2008,Other Agencies,Commerce,Other Products,19826.0000,4,4
2008,Other Agencies,Commerce,Sea,856131.1100,21,16
2008,Other Agencies,Education,NULL,-2790.9900,2,2
2008,Other Agencies,EPA,C4ISR,140197.8700,15,14
2008,Other Agencies,EPA,Other Products,20197.5600,2,2
2008,Other Agencies,EPA,Sea,58125.0000,2,1
2008,Other Agencies,FEDERAL ELECTION COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",1190.0000,2,2
2008,Other Agencies,FEDERAL ELECTION COMMISSION,Other R&D and Knowledge Based,20000.0000,2,2
2008,Other Agencies,HUD,Other R&D and Knowledge Based,4400.0000,1,1
2008,Other Agencies,Interior,NULL,138586.3700,22,16
2008,Other Agencies,Interior,Air,145862.5300,17,11
2008,Other Agencies,Justice,Other Products,9673827.8400,52,52
2008,Other Agencies,NUCLEAR REGULATORY COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",5996.6200,2,2
2008,Other Agencies,NUCLEAR REGULATORY COMMISSION,Other R&D and Knowledge Based,14730.2800,4,3
2008,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,Other Products,13050.0000,1,1
2008,Other Agencies,SMALL BUSINESS ADMINISTRATION,Other R&D and Knowledge Based,93726.4000,1,1
2008,Other Agencies,SMITHSONIAN INSTITUTION,"Other Facilities, Construction, Manufacturing and Testing",27750.0000,3,4
2008,Other Agencies,SMITHSONIAN INSTITUTION,Other R&D and Knowledge Based,83752.4500,4,6
2008,Other Agencies,Transportation,C4ISR,4085850.5000,18,18
2008,Other Agencies,Transportation,Land,45292.0000,2,1
2008,Other Agencies,Transportation,Other Products,22967.3700,2,2
2008,Other Agencies,Transportation,Sea,163548.5400,2,2
2008,Other Agencies,Treasury,Other Products,1134602.2000,22,19
2008,Other Agencies,VA,Other Services,840326.6000,23,23
2008,State and IAP,State,NULL,1012498.1300,145,126
2009,Defense,Air Force,C4ISR,16615606.7600,105,91
2009,Defense,Air Force,Land,79300.0000,1,1
2009,Defense,Army,Air,8342840.9300,85,60
2009,Defense,DLA,Air,47855695.1400,437,420
2009,Defense,Other DoD,Other Services,-67346.0000,3,2
2009,DHS,FEMA,Other Products,13360.3000,3,2
2009,DHS,ICE,Other Products,5710.0000,1,1
2009,DHS,OPO,Other R&D and Knowledge Based,0.0000,1,1
2009,DHS,Other DHS,"Other Facilities, Construction, Manufacturing and Testing",322065.2000,25,25
2009,DHS,Other DHS,Other R&D and Knowledge Based,-15505.9000,5,4
2009,DHS,TSA,C4ISR,-337933.4000,3,3
2009,DHS,TSA,Land,0.0000,2,1
2009,Energy,Energy,Other Products,13854.1200,8,5
2009,GSA,GSA,C4ISR,434782.6400,12,44
2009,GSA,GSA,Land,0.0000,NULL,1
2009,GSA,GSA,Sea,0.0000,NULL,2
2009,NASA,NASA,Other Products,32746.5800,5,5
2009,NASA,NASA,Other R&D and Knowledge Based,272120.5000,14,8
2008,Other Agencies,Treasury,NULL,0.0000,1,1
2008,Other Agencies,Treasury,Other R&D and Knowledge Based,952940.2500,5,6
2008,Other Agencies,VA,C4ISR,436374.5400,54,54
2008,State and IAP,State,Other Products,401896.3500,8,8
2009,Defense,Air Force,Other R&D and Knowledge Based,974433.0000,18,14
2009,Defense,Air Force,Other Services,213118.0000,10,7
2009,Defense,Army,Sea,381770.6300,14,2
2009,Defense,DLA,C4ISR,14375867.6400,283,278
2009,Defense,DLA,Land,33112028.2000,1107,1104
2009,Defense,DLA,Sea,738034.6700,46,44
2009,Defense,Navy,Air,30373512.7500,100,87
2009,Defense,Other DoD,Other Products,62584.2100,7,7
2009,Defense,Other DoD,Sea,327327.7600,7,6
2009,DHS,CBP,"Other Facilities, Construction, Manufacturing and Testing",501474.9100,19,16
2009,DHS,ICE,"Weapons, Ammunition and Missiles",95210.4000,4,3
2009,Energy,Energy,Other R&D and Knowledge Based,5737010.2900,14,9
2009,GSA,GSA,"Other Facilities, Construction, Manufacturing and Testing",6235652.1600,1145,1144
2009,HHS,HHS,Other Services,397769.8700,15,15
2009,NASA,NASA,Air,0.0000,1,1
2009,NASA,NASA,Other Services,-1059.0000,4,3
2009,Other Agencies,NULL,C4ISR,19439.0000,11,2
2009,Other Agencies,NULL,Other Products,13649389.2300,9604,13
2009,Other Agencies,All other Customers,"Other Facilities, Construction, Manufacturing and Testing",575010.8000,47,36
2009,Other Agencies,Commerce,Land,14250.0000,1,1
2009,Other Agencies,Exec Office,"Other Facilities, Construction, Manufacturing and Testing",7825.0000,1,1
2009,Other Agencies,Interior,NULL,82298.5400,12,11
2009,Other Agencies,Interior,Other R&D and Knowledge Based,3915672.7000,127,113
2009,Other Agencies,Interior,"Weapons, Ammunition and Missiles",231.3000,1,1
2009,Other Agencies,Justice,C4ISR,8406878.3800,124,113
2009,Other Agencies,Justice,Land,483022.1000,8,8
2009,Other Agencies,NATIONAL TRANSPORTATION SAFETY BOARD,C4ISR,21000.0000,1,1
2009,Other Agencies,NUCLEAR REGULATORY COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",30000.0000,3,2
2009,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,Other Services,9242.4500,1,1
2009,Other Agencies,SMALL BUSINESS ADMINISTRATION,Other R&D and Knowledge Based,15418.8800,2,2
2009,Other Agencies,Treasury,C4ISR,511127.3100,37,30
2009,Other Agencies,Treasury,Other Products,402942.0400,34,26
2009,Other Agencies,VA,NULL,28530.0000,2,2
2009,State and IAP,MILLENNIUM CHALLENGE CORPORATION,"Other Facilities, Construction, Manufacturing and Testing",4419839.0600,5,4
2009,State and IAP,State,NULL,115561.0900,20,16
2009,State and IAP,State,"Other Facilities, Construction, Manufacturing and Testing",13902456.0300,423,235
2010,Defense,Air Force,Other Products,850605.9800,22,20
2010,Defense,Air Force,Space,117000.0000,2,1
2010,Defense,Army,Air,3932014.5400,58,38
2010,Defense,DLA,Air,76732523.6800,432,407
2010,Defense,Navy,Land,387301388.0300,54,22
2010,Defense,Navy,Sea,9144278.6700,85,57
2010,Defense,Other DoD,Other Services,4193.6400,1,1
2008,Other Agencies,EPA,NULL,11200.0000,2,1
2008,Other Agencies,EPA,Other R&D and Knowledge Based,111762.5200,22,19
2008,Other Agencies,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,C4ISR,-158.9300,1,1
2008,Other Agencies,Interior,Other R&D and Knowledge Based,3752430.4900,151,131
2008,Other Agencies,Justice,"Other Facilities, Construction, Manufacturing and Testing",19098996.0600,449,446
2008,Other Agencies,Labor,Other R&D and Knowledge Based,7553117.0000,8,4
2008,Other Agencies,NATIONAL TRANSPORTATION SAFETY BOARD,C4ISR,21000.0000,1,1
2008,Other Agencies,NUCLEAR REGULATORY COMMISSION,C4ISR,45000.0000,2,1
2008,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,Other R&D and Knowledge Based,11000.0000,1,1
2008,Other Agencies,VA,NULL,52235.0200,5,5
2008,Other Agencies,VA,Other R&D and Knowledge Based,202138.9800,40,40
2008,State and IAP,MILLENNIUM CHALLENGE CORPORATION,Other R&D and Knowledge Based,272424.4700,6,4
2008,State and IAP,State,"Other Facilities, Construction, Manufacturing and Testing",3180431.0000,369,132
2009,Defense,Air Force,Air,104339549.4800,121,78
2009,Defense,Air Force,Space,259400.0000,2,1
2009,Defense,Army,"Weapons, Ammunition and Missiles",116269205.1900,109,65
2009,Defense,DLA,"Weapons, Ammunition and Missiles",4005974.0000,54,54
2009,Defense,Navy,Land,253355996.2700,102,25
2009,Defense,Navy,Other R&D and Knowledge Based,4857421.2300,40,28
2009,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",72279.3600,12,11
2009,DHS,COAST GUARD,C4ISR,1389973.7900,39,35
2009,DHS,COAST GUARD,Other Services,157631.9100,7,3
2009,DHS,FEMA,C4ISR,58746.5000,2,2
2009,DHS,Other DHS,Land,5017.0000,1,1
2009,GSA,GSA,Other Products,424643.4700,81,76
2009,HHS,HHS,NULL,857978.8200,2,3
2009,HHS,HHS,Other R&D and Knowledge Based,9588278.0700,63,62
2009,Other Agencies,NULL,Other R&D and Knowledge Based,20360.0000,3,2
2009,Other Agencies,Agriculture,Air,164284.2400,3,2
2009,Other Agencies,COURT SERVICES AND OFFENDER SUPERVISION AGENCY,Other R&D and Knowledge Based,159400.0000,2,2
2009,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,Other R&D and Knowledge Based,232108.8800,8,8
2009,Other Agencies,SMITHSONIAN INSTITUTION,C4ISR,562259.0500,12,11
2009,Other Agencies,SMITHSONIAN INSTITUTION,Other Services,22304.0300,1,1
2009,Other Agencies,Transportation,Other Products,11860.3300,2,3
2009,Other Agencies,Transportation,Sea,333085.5400,6,5
2009,State and IAP,State,Air,7428324.0000,3,3
2010,Defense,Air Force,Sea,6809.1000,1,1
2010,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",16545573.9300,1189,254
2010,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",7943418.5100,189,184
2010,Defense,DLA,Sea,1109411.5800,59,49
2010,Defense,Navy,Other Products,1998070.0000,73,58
2010,Defense,Other DoD,Air,69970731.8000,94,69
2010,Defense,Other DoD,C4ISR,2306517.1100,76,63
2010,Defense,Other DoD,Space,-7308.0000,1,1
2010,DHS,CBP,C4ISR,177253.5900,9,5
2008,Other Agencies,VA,Other Products,7773580.3000,1013,824
2008,State and IAP,State,Air,882592.0000,1,1
2008,State and IAP,State,C4ISR,413359.8200,19,14
2009,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",9979289.2000,126,103
2009,Defense,Air Force,Sea,235225.0000,2,1
2009,Defense,Army,C4ISR,66840750.0000,354,251
2009,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",48851846.9300,708,280
2009,Defense,Army,Other Services,216180.0100,16,13
2009,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",2686189.0000,89,91
2009,Defense,Navy,Other Products,1605320.8100,81,64
2009,Defense,Other DoD,C4ISR,3095141.4500,78,72
2009,DHS,CBP,C4ISR,318656.4400,23,22
2009,DHS,CBP,Other Services,1612869.7400,55,34
2009,DHS,FEMA,"Other Facilities, Construction, Manufacturing and Testing",6228.6200,1,1
2009,GSA,GSA,Other R&D and Knowledge Based,-91918.7100,3,4
2009,HHS,HHS,Other Products,350007.3600,26,20
2009,Other Agencies,Agriculture,"Weapons, Ammunition and Missiles",91636.2400,8,8
2009,Other Agencies,Archives,C4ISR,74588.6000,5,4
2009,Other Agencies,BROADCASTING BOARD OF GOVERNORS,Other R&D and Knowledge Based,8869.5600,7,6
2009,Other Agencies,Commerce,Other R&D and Knowledge Based,1264793.3700,33,30
2009,Other Agencies,Commerce,Other Services,35195.6100,5,4
2009,Other Agencies,Education,Other R&D and Knowledge Based,14085018.2700,15,2
2009,Other Agencies,EPA,Other R&D and Knowledge Based,54442.8500,9,8
2009,Other Agencies,Justice,Sea,43875.0000,3,3
2009,Other Agencies,Labor,Other R&D and Knowledge Based,2257991.0200,7,4
2009,Other Agencies,NUCLEAR REGULATORY COMMISSION,C4ISR,43314.8700,3,3
2009,Other Agencies,VA,Other R&D and Knowledge Based,468918.7600,37,37
2009,State and IAP,MILLENNIUM CHALLENGE CORPORATION,Other R&D and Knowledge Based,224165.9100,2,3
2009,State and IAP,State,"Weapons, Ammunition and Missiles",17959.0000,1,1
2010,Defense,Air Force,Air,143860502.5300,111,90
2010,Defense,Army,Space,209281.3100,2,1
2010,Defense,Army,"Weapons, Ammunition and Missiles",122235492.1400,72,49
2010,Defense,DLA,"Weapons, Ammunition and Missiles",6697194.0000,61,57
2010,Defense,Navy,NULL,17100.0000,1,1
2010,Defense,Navy,Other R&D and Knowledge Based,3062217.6700,40,25
2010,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",133551.3300,10,10
2010,DHS,COAST GUARD,C4ISR,1209465.6700,42,35
2010,DHS,COAST GUARD,Other Services,225069.5400,10,7
2010,DHS,FEMA,C4ISR,41103.1800,2,2
2010,DHS,OPO,Sea,258530.0000,1,1
2010,DHS,Other DHS,Other R&D and Knowledge Based,6223.3500,2,3
2010,HHS,HHS,Other R&D and Knowledge Based,15008901.4200,65,58
2010,Other Agencies,Agriculture,Sea,6210.0000,1,1
2010,Other Agencies,COURT SERVICES AND OFFENDER SUPERVISION AGENCY,Other R&D and Knowledge Based,10900.0000,1,1
2010,Other Agencies,Justice,Other Products,1173260.0900,96,91
2010,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,Other R&D and Knowledge Based,233510.6500,8,8
2009,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,C4ISR,4687.0000,1,1
2009,Other Agencies,RAILROAD RETIREMENT BOARD,C4ISR,7099.9400,1,1
2009,Other Agencies,SMITHSONIAN INSTITUTION,"Other Facilities, Construction, Manufacturing and Testing",50984.8000,6,7
2009,Other Agencies,Transportation,C4ISR,14506223.8500,12,13
2009,Other Agencies,Transportation,Land,69783.5100,4,3
2009,Other Agencies,VA,Other Services,1672657.1800,34,27
2010,Defense,Air Force,C4ISR,21325487.7200,97,89
2010,Defense,Air Force,Land,172949.7000,6,6
2010,Defense,Army,Other Services,118898.9500,33,24
2010,Defense,DLA,NULL,2887283.9900,19,20
2010,Defense,Navy,C4ISR,17444165.5800,320,265
2010,DHS,COAST GUARD,Other R&D and Knowledge Based,118760.0000,2,3
2010,DHS,Other DHS,"Weapons, Ammunition and Missiles",1390959.6000,16,12
2010,GSA,GSA,Land,0.0000,NULL,3
2010,HHS,HHS,C4ISR,1274919.3300,49,44
2010,HHS,HHS,Other Products,1155492.6200,25,23
2010,NASA,NASA,Other Products,36265.2000,3,3
2010,Other Agencies,Agriculture,"Other Facilities, Construction, Manufacturing and Testing",2464143.2000,99,96
2010,Other Agencies,Commerce,"Other Facilities, Construction, Manufacturing and Testing",3134250.3100,97,83
2010,Other Agencies,Commerce,Other R&D and Knowledge Based,775021.8500,30,29
2010,Other Agencies,EPA,NULL,-24982.0000,1,1
2010,Other Agencies,EPA,"Other Facilities, Construction, Manufacturing and Testing",171611.1100,26,21
2010,Other Agencies,Interior,Land,45101.3500,3,3
2010,Other Agencies,Justice,"Other Facilities, Construction, Manufacturing and Testing",751268.4000,27,23
2010,Other Agencies,Justice,Other R&D and Knowledge Based,1395705.1200,17,12
2010,Other Agencies,Labor,"Other Facilities, Construction, Manufacturing and Testing",71304.0000,2,2
2010,Other Agencies,MERIT SYSTEMS PROTECTION BOARD,"Other Facilities, Construction, Manufacturing and Testing",2615.4700,1,1
2010,Other Agencies,Transportation,"Other Facilities, Construction, Manufacturing and Testing",6642.1000,2,2
2010,Other Agencies,Treasury,"Other Facilities, Construction, Manufacturing and Testing",2533083.6100,148,120
2010,Other Agencies,VA,Land,6999.7000,1,1
2010,State and IAP,USAID,Other R&D and Knowledge Based,7697181.9800,7,4
2011,Defense,Air Force,"Weapons, Ammunition and Missiles",11804.0000,1,1
2011,Defense,Army,Other Products,15874226.6500,106,93
2011,Defense,DLA,Other Products,69294579.5300,673,660
2011,Defense,MDA,"Other Facilities, Construction, Manufacturing and Testing",114018.7000,6,6
2011,Defense,Navy,NULL,-1990.1400,2,2
2011,DHS,ICE,"Other Facilities, Construction, Manufacturing and Testing",25172.6100,3,2
2011,Energy,Energy,"Other Facilities, Construction, Manufacturing and Testing",0.0000,NULL,1
2011,GSA,GSA,Other Services,12480.0000,1,2
2011,HHS,HHS,NULL,1228966.2000,1,2
2011,Other Agencies,Agriculture,Air,8328.1200,1,1
2011,Other Agencies,Agriculture,C4ISR,3534142.7300,94,89
2011,Other Agencies,All other Customers,Other R&D and Knowledge Based,0.0000,1,1
2011,Other Agencies,Commerce,Air,128548.5000,5,3
2010,Defense,Army,C4ISR,110608734.2000,372,272
2010,Defense,Army,Land,2143420647.7900,179,104
2010,Defense,Army,Sea,1202083.5000,6,6
2010,Defense,DLA,C4ISR,9050408.8200,230,222
2010,Defense,DLA,Land,55872421.4400,1312,1273
2010,Defense,Navy,Air,35761030.9700,112,83
2010,Defense,Other DoD,Other Products,-44206.5400,5,5
2010,Defense,Other DoD,Sea,26052.0000,6,5
2010,DHS,CBP,"Other Facilities, Construction, Manufacturing and Testing",44805.9400,8,7
2010,DHS,CBP,Other R&D and Knowledge Based,9600.0000,1,1
2010,DHS,ICE,"Weapons, Ammunition and Missiles",78706.2000,3,3
2010,DHS,OPO,Other Products,5328.0000,1,1
2010,DHS,TSA,Other Services,9000.0000,2,1
2010,GSA,GSA,Other Services,13440.0000,1,2
2010,HHS,HHS,NULL,828611.0000,3,4
2010,Other Agencies,NULL,Other Products,14174841.5200,10026,21
2010,Other Agencies,Agriculture,Other Products,4164920.4200,36,34
2010,Other Agencies,All other Customers,NULL,13435.7500,2,1
2010,Other Agencies,All other Customers,"Other Facilities, Construction, Manufacturing and Testing",181757.2600,30,26
2010,Other Agencies,Commerce,C4ISR,1987606.9700,102,97
2010,Other Agencies,Education,NULL,7139.2500,1,1
2010,Other Agencies,EPA,C4ISR,170332.7600,13,11
2010,Other Agencies,Interior,NULL,-4170.0000,2,2
2010,Other Agencies,Labor,C4ISR,102035.3300,7,6
2010,Other Agencies,NATIONAL GALLERY OF ART,Other R&D and Knowledge Based,35605.5800,2,1
2010,Other Agencies,SMALL BUSINESS ADMINISTRATION,Other R&D and Knowledge Based,32564.0000,2,2
2010,Other Agencies,Transportation,C4ISR,277950.7000,11,10
2010,Other Agencies,Transportation,Land,58358.5300,3,2
2010,Other Agencies,VA,Other R&D and Knowledge Based,1232746.9300,123,123
2010,Other Agencies,VA,Other Services,163091.5100,13,13
2010,State and IAP,MILLENNIUM CHALLENGE CORPORATION,"Other Facilities, Construction, Manufacturing and Testing",5554061.0700,19,14
2011,Defense,Army,NULL,372476.8000,1,1
2011,Defense,Army,Air,13466457.5100,52,30
2011,Defense,DLA,NULL,1488983.3800,20,19
2011,Defense,DLA,Air,81418530.2200,421,366
2011,Defense,Navy,Other Products,1063505.9300,72,56
2011,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",240487.2700,10,8
2011,DHS,CBP,Air,41764.0000,1,1
2011,DHS,FEMA,Other Products,-16364.2400,3,3
2011,DHS,TSA,C4ISR,0.0000,2,2
2011,Energy,Energy,Other Products,12525.3300,1,1
2011,GSA,GSA,C4ISR,-324179.6900,3,38
2011,GSA,GSA,Land,0.0000,NULL,2
2011,HHS,HHS,Other Products,61352089.5800,21,17
2011,NASA,NASA,Other Products,40037.4000,4,3
2011,Other Agencies,NULL,"Other Facilities, Construction, Manufacturing and Testing",189490.0300,141,105
2011,Other Agencies,Agriculture,Other R&D and Knowledge Based,6030444.2800,32,27
2011,Other Agencies,Agriculture,Other Services,203367.4600,11,11
2011,Other Agencies,Commerce,"Weapons, Ammunition and Missiles",55085.8500,2,2
2011,Other Agencies,EPA,"Other Facilities, Construction, Manufacturing and Testing",220197.7700,18,15
2010,DHS,CBP,Other Services,132533.6900,7,5
2010,DHS,FEMA,"Other Facilities, Construction, Manufacturing and Testing",309.3800,1,1
2010,DHS,Other DHS,Other Products,22944.2000,2,2
2010,DHS,TSA,Other R&D and Knowledge Based,0.0000,NULL,1
2010,GSA,GSA,Other R&D and Knowledge Based,0.0000,NULL,1
2010,NASA,NASA,Other R&D and Knowledge Based,63257.3100,7,5
2010,Other Agencies,Agriculture,"Weapons, Ammunition and Missiles",34519.9000,3,2
2010,Other Agencies,Archives,C4ISR,42406.3000,7,6
2010,Other Agencies,BROADCASTING BOARD OF GOVERNORS,Other R&D and Knowledge Based,80201.0200,14,13
2010,Other Agencies,Commerce,Other Services,906586.0200,6,4
2010,Other Agencies,EPA,Other R&D and Knowledge Based,420642.3300,39,35
2010,Other Agencies,FEDERAL MARITIME COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",28011.4000,3,3
2010,Other Agencies,Justice,NULL,4950.0000,1,1
2010,Other Agencies,Justice,Land,508741.3200,9,6
2010,Other Agencies,Labor,Other R&D and Knowledge Based,3230330.0400,10,5
2010,Other Agencies,MERIT SYSTEMS PROTECTION BOARD,C4ISR,23627.3100,1,1
2010,Other Agencies,NUCLEAR REGULATORY COMMISSION,C4ISR,883150.0800,5,5
2010,Other Agencies,NUCLEAR REGULATORY COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",10000.0000,4,2
2010,Other Agencies,Treasury,C4ISR,970575.4000,47,37
2010,Other Agencies,Treasury,Other Services,40699.2700,3,3
2010,State and IAP,MILLENNIUM CHALLENGE CORPORATION,Other R&D and Knowledge Based,1176603.0200,5,4
2010,State and IAP,State,NULL,19996.1500,4,3
2010,State and IAP,USAID,"Other Facilities, Construction, Manufacturing and Testing",134788.5000,2,2
2011,Defense,Air Force,Air,71631368.6300,145,102
2011,Defense,Army,"Weapons, Ammunition and Missiles",53218460.4900,101,62
2011,Defense,DLA,"Weapons, Ammunition and Missiles",2905139.5100,30,30
2011,Defense,Navy,Other R&D and Knowledge Based,6823720.3300,53,32
2011,Defense,Other DoD,"Weapons, Ammunition and Missiles",-382605.3500,4,3
2011,DHS,COAST GUARD,C4ISR,1444104.9500,35,31
2011,DHS,COAST GUARD,Other Services,49121.3600,4,3
2011,DHS,FEMA,C4ISR,37858.6800,1,1
2011,DHS,Other DHS,Other R&D and Knowledge Based,9409.1400,5,4
2011,Energy,Energy,C4ISR,1000792.0700,32,28
2011,Energy,Energy,Other Services,-5922.8600,1,1
2011,HHS,HHS,Other R&D and Knowledge Based,11510372.8500,55,46
2011,Other Agencies,Interior,C4ISR,4074634.4700,180,153
2011,Other Agencies,Interior,Other Services,244004.9600,13,11
2011,Other Agencies,Justice,Other Products,750218.0700,38,37
2011,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,C4ISR,58520.0000,3,3
2011,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,Other R&D and Knowledge Based,22402.0100,12,12
2011,Other Agencies,SMITHSONIAN INSTITUTION,"Other Facilities, Construction, Manufacturing and Testing",22360.0000,3,3
2011,Other Agencies,Transportation,Other Products,0.0000,NULL,1
2011,Other Agencies,Transportation,Sea,204083.7200,17,9
2011,State and IAP,State,Air,2970756.9200,3,2
2010,DHS,COAST GUARD,"Other Facilities, Construction, Manufacturing and Testing",1727180.2200,56,50
2010,DHS,COAST GUARD,Sea,1646593.2700,46,39
2010,DHS,FEMA,Other Products,0.0000,3,1
2010,DHS,Other DHS,"Other Facilities, Construction, Manufacturing and Testing",207884.9400,22,18
2010,DHS,TSA,C4ISR,11419200.0000,2,2
2010,DHS,TSA,Other Products,11528.9000,5,3
2010,Energy,Energy,C4ISR,1421855.1800,34,32
2010,Energy,Energy,Other Products,54967.1000,2,2
2010,GSA,GSA,C4ISR,61651.0000,4,35
2010,GSA,GSA,Other Products,2095534.5500,21,24
2010,Other Agencies,Agriculture,Other Services,3225775.5400,21,19
2010,Other Agencies,All other Customers,C4ISR,347014.1100,8,7
2010,Other Agencies,BROADCASTING BOARD OF GOVERNORS,C4ISR,187430.0000,5,2
2010,Other Agencies,Education,C4ISR,91268.5700,4,4
2010,Other Agencies,EPA,Other Services,-44325.0000,4,4
2010,Other Agencies,HUD,NULL,4140.3100,3,2
2010,Other Agencies,Interior,C4ISR,4249604.9200,217,189
2010,Other Agencies,Interior,Other Products,17999919.6300,29,26
2010,Other Agencies,INTERNATIONAL TRADE COMMISSION,C4ISR,17831.6000,2,2
2010,Other Agencies,Transportation,NULL,2793.9600,2,2
2010,Other Agencies,Treasury,Other R&D and Knowledge Based,188462.4200,16,10
2010,Other Agencies,Treasury,"Weapons, Ammunition and Missiles",0.0000,1,1
2010,Other Agencies,VA,C4ISR,810317.8700,60,59
2010,Other Agencies,VA,Other Products,9317174.1000,4832,259
2010,State and IAP,PEACE CORPS,Other R&D and Knowledge Based,16500.0000,1,1
2010,State and IAP,State,C4ISR,1646574.0100,91,74
2010,State and IAP,State,Land,652582.2200,31,22
2010,State and IAP,State,Space,14836.3500,2,2
2011,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",11160902.8500,121,84
2011,Defense,Air Force,Other R&D and Knowledge Based,1873010.3000,16,9
2011,Defense,Army,C4ISR,78622829.1900,308,220
